cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3554755,TRABIJU,7,9,2,4.0,Trabiju,1682,535.1,28.6
3554607,TIMBURI,7,9,0,0.0,Timburi,2464,365.3,0.0
3551306,SEBASTIANOPOLIS DO SUL,6,8,1,1.0,Sebastianópolis do Sul,3130,255.6,16.7
3544509,RUBINEIA,5,8,1,1.0,Rubinéia,3833,208.7,20.0
3516101,FLORINEA,7,8,4,5.0,Florínea,3851,207.7,57.1
3539707,PLATINA,8,8,0,0.0,Platina,3025,264.5,0.0
3552551,SUZANAPOLIS,8,8,1,1.0,Suzanápolis,3408,234.7,12.5
3517802,GUARACAI,8,8,2,2.0,Guaraçaí,7441,107.5,25.0
3534500,OSCAR BRESSANE,7,8,3,4.0,Oscar Bressane,2470,323.9,42.9
3532827,NOVA CAMPINA,8,8,3,3.0,Nova Campina,8497,94.2,37.5
3547403,SANTA RITA D OESTE,8,8,0,0.0,Santa Rita d'Oeste,2733,292.7,0.0
3530003,MIRA ESTRELA,7,7,0,0.0,Mira Estrela,3126,223.9,0.0
3536570,PAULISTANIA,7,7,4,4.0,Paulistânia,2090,334.9,57.1
3530904,MOMBUCA,7,7,1,1.0,Mombuca,3722,188.1,14.3
3548302,SANTO EXPEDITO,7,7,1,1.0,Santo Expedito,3000,233.3,14.3
3528858,MARAPOAMA,7,7,1,1.0,Marapoama,3292,212.6,14.3
3534807,OURO VERDE,7,7,3,3.0,Ouro Verde,7779,90.0,42.9
3529658,MESOPOLIS,5,7,0,0.0,Mesópolis,1952,358.6,0.0
3547205,SANTANA DA PONTE PENSA,7,7,2,2.0,Santana da Ponte Pensa,1670,419.2,28.6
3522653,ITAPIRAPUA PAULISTA,7,7,1,1.0,Itapirapuã Paulista,4306,162.6,14.3
3521606,IRAPURU,7,7,1,1.0,Irapuru,7085,98.8,14.3
3520806,INUBIA PAULISTA,6,7,3,4.0,Inúbia Paulista,3615,193.6,50.0
3521200,IPORANGA,6,6,1,1.0,Iporanga,4046,148.3,16.7
3533809,OLEO,6,6,0,0.0,Óleo,2512,238.9,0.0
3500907,ALTAIR,6,6,1,1.0,Altair,3451,173.9,16.7
3516507,GABRIEL MONTEIRO,6,6,0,0.0,Gabriel Monteiro,2763,217.2,0.0
3519907,IEPE,6,6,0,0.0,Iepê,7619,78.8,0.0
3540309,PONTES GESTAL,4,6,1,1.0,Pontes Gestal,2387,251.4,25.0
3538303,PIQUEROBI,6,6,4,4.0,Piquerobi,3264,183.8,66.7
3502408,ANHUMAS,4,6,1,1.0,Anhumas,4023,149.1,25.0
3535903,PARANAPUA,6,6,0,0.0,Paranapuã,4031,148.8,0.0
